contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPX260918C06325000,2026-05-12 16:22:48+00:00,6325.0,1164.16,1202.7,1205.8,0.0,0.0,2.0,621,0.3005460113334656,True,REGULAR,USD
SPX260918C06350000,2026-04-17 14:54:03+00:00,6350.0,967.9,1180.0,1183.0,0.0,0.0,25.0,1777,0.2976792950057982,True,REGULAR,USD
SPX260918C06370000,2026-05-06 18:16:18+00:00,6370.0,1126.6,1161.9,1164.8,0.0,0.0,5.0,22,0.29538859220504754,True,REGULAR,USD
SPX260918C06375000,2026-04-01 19:44:07+00:00,6375.0,557.3,1134.6,1138.5,0.0,0.0,2.0,0,0.27451477750778197,True,REGULAR,USD
SPX260918C06400000,2026-05-15 17:06:51+00:00,6400.0,1171.1,1134.7,1137.7,74.28992,6.773271,1.0,3324,0.2920736534309386,True,REGULAR,USD
SPX260918C06420000,2026-05-08 13:50:54+00:00,6420.0,1106.18,1116.7,1119.6,0.0,0.0,1.0,2,0.28979248727798457,True,REGULAR,USD
SPX260918C06425000,2026-04-13 14:00:41+00:00,6425.0,652.42,1108.4,1111.8,0.0,0.0,2.0,134,0.2863192401504517,True,REGULAR,USD
SPX260918C06430000,2026-03-27 19:45:45+00:00,6430.0,412.32,1085.5,1089.4,0.0,0.0,17.0,0,0.2695824232673645,True,REGULAR,USD
SPX260918C06440000,2026-04-06 18:52:35+00:00,6440.0,510.88,1076.6,1080.5,0.0,0.0,26.0,0,0.26867453439712524,True,REGULAR,USD
SPX260918C06450000,2026-04-28 14:38:53+00:00,6450.0,864.1,1089.8,1092.7,0.0,0.0,22.0,3279,0.2865309537315368,True,REGULAR,USD
SPX260918C06460000,2026-04-06 13:48:52+00:00,6460.0,493.71,1058.8,1062.7,0.0,0.0,4.0,0,0.26682633205413825,True,REGULAR,USD
SPX260918C06470000,2026-04-06 19:19:45+00:00,6470.0,489.99,1050.0,1053.8,0.0,0.0,10.0,0,0.2658860185813904,True,REGULAR,USD
SPX260918C06475000,2026-04-17 15:50:51+00:00,6475.0,860.05,1067.3,1070.2,0.0,0.0,1.0,1611,0.28367949604034415,True,REGULAR,USD
SPX260918C06480000,2026-04-07 19:08:12+00:00,6480.0,467.9,1058.6,1062.0,0.0,0.0,1.0,21,0.27992968612670893,True,REGULAR,USD
SPX260918C06490000,2026-04-06 19:17:45+00:00,6490.0,476.32,1032.2,1036.0,0.0,0.0,8.0,0,0.26397392069816594,True,REGULAR,USD
SPXW260918C06500000,2026-04-16 16:25:18+00:00,6500.0,772.4,1043.1,1050.9,0.0,0.0,,1,0.28347350444793695,True,REGULAR,USD
SPX260918C06510000,2026-04-06 14:49:07+00:00,6510.0,455.14,1014.6,1018.4,0.0,0.0,2.0,0,0.2621934285545349,True,REGULAR,USD
SPX260918C06520000,2026-04-08 19:02:27+00:00,6520.0,547.66,1023.0,1026.3,0.0,0.0,2.0,4,0.27556762342453,True,REGULAR,USD
SPX260918C06525000,2026-03-31 18:58:05+00:00,6525.0,415.78,1001.2,1005.0,0.0,0.0,501.0,0,0.26065421360015867,True,REGULAR,USD
SPX260918C06530000,2026-04-07 16:11:15+00:00,6530.0,435.68,1013.9,1017.2,0.0,0.0,4.0,8,0.2743068785858154,True,REGULAR,USD
SPX260918C06540000,2026-04-13 18:54:00+00:00,6540.0,585.72,1005.2,1008.5,0.0,0.0,36.0,16,0.27337228710174555,True,REGULAR,USD
SPX260918C06550000,2026-05-08 14:06:03+00:00,6550.0,997.82,1000.5,1003.4,0.0,0.0,11.0,3330,0.27539024177551263,True,REGULAR,USD
SPX260918C06560000,2026-04-07 14:01:24+00:00,6560.0,409.36,987.3,990.6,0.0,0.0,22.0,28,0.2710567890167237,True,REGULAR,USD
SPX260918C06570000,2026-05-07 14:55:08+00:00,6570.0,972.71,982.8,985.6,0.0,0.0,3.0,17,0.2731033536338806,True,REGULAR,USD
SPX260918C06575000,2026-04-10 18:39:29+00:00,6575.0,537.6,974.4,977.7,0.0,0.0,36.0,1965,0.269725472984314,True,REGULAR,USD
